YYYY DOY Hour    X(au)     Y(au)     Z(au)
2020  23   2 -121.1505   10.1695   84.5082
2020  23   3 -121.1509   10.1695   84.5085
2020  23   4 -121.1512   10.1695   84.5087
2020  23   5 -121.1515   10.1695   84.5089
2020  23   6 -121.1519   10.1695   84.5092
2020  23   7 -121.1522   10.1695   84.5094
2020  23   8 -121.1525   10.1695   84.5097
2020  23   9 -121.1528   10.1695   84.5099
2020  23  10 -121.1532   10.1695   84.5102
2020  23  11 -121.1535   10.1695   84.5104
2020  23  12 -121.1538   10.1695   84.5106
2020  23  13 -121.1542   10.1695   84.5109
2020  23  14 -121.1545   10.1695   84.5111
2020  23  15 -121.1548   10.1695   84.5113
2020  23  16 -121.1552   10.1695   84.5116
2020  23  17 -121.1555   10.1695   84.5118
2020  23  18 -121.1558   10.1695   84.5121
2020  23  19 -121.1561   10.1694   84.5123
2020  23  20 -121.1565   10.1694   84.5125
2020  23  21 -121.1568   10.1694   84.5128
2020  23  22 -121.1571   10.1694   84.5130
2020  23  23 -121.1575   10.1694   84.5133
2020  24   0 -121.1578   10.1694   84.5135
2020  24   1 -121.1581   10.1694   84.5137
2020  24   2 -121.1585   10.1694   84.5140
2020  24   3 -121.1588   10.1694   84.5142
2020  24   4 -121.1591   10.1694   84.5145
2020  24   5 -121.1594   10.1694   84.5147
2020  24   6 -121.1598   10.1694   84.5149
2020  24   7 -121.1601   10.1694   84.5152
2020  24   8 -121.1604   10.1694   84.5154
2020  24   9 -121.1608   10.1694   84.5157
2020  24  10 -121.1611   10.1694   84.5159
2020  24  11 -121.1614   10.1694   84.5161
2020  24  12 -121.1618   10.1694   84.5164
2020  24  13 -121.1621   10.1694   84.5166
2020  24  14 -121.1624   10.1694   84.5168
2020  24  15 -121.1627   10.1694   84.5171
2020  24  16 -121.1631   10.1694   84.5173
2020  24  17 -121.1634   10.1694   84.5176
2020  24  18 -121.1637   10.1694   84.5178
2020  24  19 -121.1641   10.1694   84.5180
2020  24  20 -121.1644   10.1694   84.5183
2020  24  21 -121.1647   10.1694   84.5185
2020  24  22 -121.1651   10.1694   84.5188
2020  24  23 -121.1654   10.1694   84.5190
2020  25   0 -121.1657   10.1694   84.5193
2020  25   1 -121.1661   10.1694   84.5195
2020  25   2 -121.1664   10.1694   84.5197
2020  25   3 -121.1667   10.1694   84.5200
2020  25   4 -121.1671   10.1694   84.5202
2020  25   5 -121.1674   10.1694   84.5205
2020  25   6 -121.1677   10.1693   84.5207
2020  25   7 -121.1681   10.1693   84.5209
2020  25   8 -121.1684   10.1693   84.5212
2020  25   9 -121.1687   10.1693   84.5214
2020  25  10 -121.1690   10.1694   84.5216
2020  25  11 -121.1694   10.1694   84.5219
2020  25  12 -121.1697   10.1693   84.5221
2020  25  13 -121.1700   10.1694   84.5223
2020  25  14 -121.1704   10.1693   84.5226
